"date1","Reported_PrecipSum","Precip_MaxHourly_inState","Precip_Sum_Calc"
2011-01-01,0,0,0
2011-01-02,0.03,0.12,0.054582788671024
2011-01-03,0,0,0
2011-01-04,0,0,0
2011-01-05,0,0,0
2011-01-06,0,0,0
2011-01-07,0.146,0.01,4e-04
2011-01-08,0.046,0,0
2011-01-09,0.0444444444444444,0.08,0.027478354978355
2011-01-10,0.0175,0.04,0.0109432234432234
2011-01-11,0.021,0,0
2011-01-12,0.501,0.2,0.0185703703703704
2011-01-13,0.0133333333333333,0,0
2011-01-14,0,0,0
2011-01-15,0.01,0.02,0.0030952380952381
2011-01-16,0.02625,0.05,0.0169047619047619
2011-01-17,0.00111111111111111,0,0
2011-01-18,0.547,0.24,0.279888263588264
2011-01-19,0.065,0.34,0.061482065088708
2011-01-20,0.0025,0,0
2011-01-21,0.168,0,0
2011-01-22,0,0,0
2011-01-23,0,0,0
2011-01-24,0,0,0
2011-01-25,0.0609090909090909,0,0
2011-01-26,0.201,0.05,0.0032478354978355
2011-01-27,0.346666666666667,0.09,0.0306601731601732
2011-01-28,0.007,0,0
2011-01-29,0,0,0
2011-01-30,0,0,0
2011-01-31,0,0,0
2011-02-01,0.215555555555556,0,0
2011-02-02,0.506666666666667,0.15,0.116040044245927
2011-02-03,0,0,0
2011-02-04,0,0,0
2011-02-05,0.175,0.11,0.110661992528712
2011-02-06,0,0,0
2011-02-07,0.0622222222222222,0.06,0.0282504025764895
2011-02-08,0.144,0.09,0.0928159940836103
2011-02-09,0,0,0
2011-02-10,0,0,0
2011-02-11,0,0,0
2011-02-12,0,0,0
2011-02-13,0,0,0
2011-02-14,0,0,0
2011-02-15,0,0,0
2011-02-16,0.00125,0.01,0.000833333333333333
2011-02-17,0,0,0
2011-02-18,0.004,0,0
2011-02-19,0,0.02,0.002
2011-02-20,0,0,0
2011-02-21,0.115,0,0
2011-02-22,0,0,0
2011-02-23,0,0,0
2011-02-24,0.0177777777777778,0.03,0.00596078431372549
2011-02-25,1.122,0.55,0.90521930782777
2011-02-26,0,0,0
2011-02-27,0.074,0.05,0.00674697812384131
2011-02-28,0.295555555555556,0.73,0.348773713467421
2011-03-01,0,0.01,0.000666666666666667
2011-03-02,0,0,0
2011-03-03,0,0,0
2011-03-04,0,0,0
2011-03-05,0.00111111111111111,0.01,0.000625
2011-03-06,1.196,0.67,0.953433392645727
2011-03-07,0.63,0.44,0.441018960840925
2011-03-08,0,0,0
2011-03-09,0,0,0
2011-03-10,0.237777777777778,0.23,0.21111353273751
2011-03-11,0.556666666666667,0.38,0.375268559295199
2011-03-12,0,0,0
2011-03-13,0,0,0
2011-03-14,0,0,0
2011-03-15,0,0,0
2011-03-16,0.4,0.16,0.241775683736553
2011-03-17,0,0,0
2011-03-18,0,0,0
2011-03-19,0,0,0
2011-03-20,0,0,0
2011-03-21,0.18,0.05,0.0428566165481852
2011-03-22,0,0,0
2011-03-23,0.043,0.4,0.0178245066787892
2011-03-24,0.0125,0,0
2011-03-25,0,0,0
2011-03-26,0,0,0
2011-03-27,0,0,0
2011-03-28,0,0,0
2011-03-29,0,0,0
2011-03-30,0,0,0
2011-03-31,0.0682352941176471,0.07,0.0716800625844743
2011-04-01,0.184,0.1,0.140508219077105
2011-04-02,0,0,0
2011-04-03,0,0,0
2011-04-04,0.039,1.22,0.153952380952381
2011-04-05,0.101,0.15,0.0743460432482172
2011-04-06,0.007,0.02,0.00635387488328665
2011-04-07,0.0188888888888889,0.03,0.0198578431372549
2011-04-08,0,0.14,0.0316666666666667
2011-04-09,0,0,0
2011-04-10,0,0,0
2011-04-11,0.001,0.01,0.000555555555555556
2011-04-12,0.666666666666667,0.82,0.563842105606811
2011-04-13,0.531,0.39,0.491925582381838
2011-04-14,0,0,0
2011-04-15,0,0,0
2011-04-16,1.04909090909091,0.85,0.976021908714438
2011-04-17,0.516666666666667,0.91,0.465228563551144
2011-04-18,0,0.07,0.0122321428571429
2011-04-19,0.051,0.05,0.0285235464999397
2011-04-20,0,0,0
2011-04-21,0,0,0
2011-04-22,0,0,0
2011-04-23,0.566,0.27,0.428066478146503
2011-04-24,0.049,0.18,0.0475646020646021
2011-04-25,0.00875,0.01,0.001
2011-04-26,0,0.01,0.000454545454545455
2011-04-27,0.00333333333333333,0.01,0.00199096225412015
2011-04-28,0.153333333333333,0.23,0.148978853589838
2011-04-29,0,0,0
2011-04-30,0,0,0
2011-05-01,0,0,0
2011-05-02,0,0,0
2011-05-03,0,0,0
2011-05-04,0.323333333333333,0.29,0.226533798153707
2011-05-05,0.00125,0.01,0.00111111111111111
2011-05-06,0,0,0
2011-05-07,0.0433333333333333,0.22,0.0457481838337102
2011-05-08,0.01,0.06,0.00946428571428571
2011-05-09,0,0,0
2011-05-10,0,0,0
2011-05-11,0,0,0
2011-05-12,0,0,0
2011-05-13,0,0,0
2011-05-14,0.111111111111111,0.29,0.0935423634336678
2011-05-15,0.359,0.53,0.358304656620756
2011-05-16,0.061,0.22,0.0698896696008114
2011-05-17,0.969,0.98,1.18818218992905
2011-05-18,0.929,1.35,1.09173894217972
2011-05-19,0.237,0.53,0.214574301442557
2011-05-20,0.014,0.11,0.00821637426900585
2011-05-21,0.08,0.35,0.0983901797725327
2011-05-22,0.01,0.07,0.0113922558922559
2011-05-23,0.247,0.3,0.27982515358564
2011-05-24,0.039,0.4,0.0751540229885058
2011-05-25,0,0,0
2011-05-26,0,0,0
2011-05-27,0.001,0.01,0.00126984126984127
2011-05-28,0,0,0
2011-05-29,0,0,0
2011-05-30,0.257,0.63,0.221370298268383
2011-05-31,0.00125,0.01,0.00142857142857143
2011-06-01,0.014,0.09,0.0182051282051282
2011-06-02,0.00111111111111111,0.01,0.00181818181818182
2011-06-03,0,0,0
2011-06-04,0,0,0
2011-06-05,0,0,0
2011-06-06,0,0,0
2011-06-07,0,0,0
2011-06-08,0.017,0.28,0.049625
2011-06-09,0.519,2,0.780302387583079
2011-06-10,0.001,0.01,0.000588235294117647
2011-06-11,0.633333333333333,0.95,0.680667102793708
2011-06-12,0.512,0.98,0.56271156147901
2011-06-13,0.102,0.48,0.152700662539372
2011-06-14,0.328,0.34,0.41672970899733
2011-06-15,0.0444444444444444,0.2,0.0386031746031746
2011-06-16,0.00222222222222222,0.01,0.00290726817042607
2011-06-17,0.683,0.63,0.667075927340633
2011-06-18,0,0,0
2011-06-19,0.00111111111111111,0.01,0.000588235294117647
2011-06-20,0,0,0
2011-06-21,0.01,0.09,0.02
2011-06-22,0.56,0.88,0.389824894085068
2011-06-23,1.018,1.96,0.829865010959839
2011-06-24,0.114,0.08,0.0296521716064555
2011-06-25,0.076,0.01,0.0076698910652471
2011-06-26,0.001,0.22,0.0197619047619048
2011-06-27,0,0,0
2011-06-28,0,0,0
2011-06-29,0.21,1.26,0.26524025974026
2011-06-30,0,0,0
2011-07-01,0,0.87,0.225
2011-07-02,0,0,0
2011-07-03,0.065,0.31,0.0621978929419038
2011-07-04,0,0,0
2011-07-05,0.00125,0.01,0.000833333333333333
2011-07-06,0.016,0,0
2011-07-07,0,0,0
2011-07-08,0.645,0.91,0.73936542946309
2011-07-09,0.06,0.14,0.0552047283456951
2011-07-10,0.00777777777777778,0.01,0.00538690476190476
2011-07-11,0.002,0.01,0.00130952380952381
2011-07-12,0.016,0.16,0.01825
2011-07-13,0.066,0.41,0.151229998072103
2011-07-14,0,0,0
2011-07-15,0,0,0
2011-07-16,0,0,0
2011-07-17,0,0,0
2011-07-18,0.048,0.33,0.0972617819057447
2011-07-19,0,0,0
2011-07-20,0,0,0
2011-07-21,0,0,0
2011-07-22,0,0,0
2011-07-23,0.00125,0.01,0.000833333333333333
2011-07-24,0.0155555555555556,0.04,0.0148730158730159
2011-07-25,0.079,0.09,0.0392072829131653
2011-07-26,0.426,1.11,0.586807416267943
2011-07-27,0.00125,0.01,0.000625
2011-07-28,0,0,0
2011-07-29,0.05,0.08,0.0342803783119186
2011-07-30,0.00111111111111111,0.01,0.00126811594202899
2011-07-31,0,0,0
2011-08-01,0.21,0.89,0.196894190350712
2011-08-02,0,0,0
2011-08-03,0.0333333333333333,0.07,0.0343223443223443
2011-08-04,0,0,0
2011-08-05,0.121,0.01,0.00142857142857143
2011-08-06,0.273,0.22,0.215523909519599
2011-08-07,1.04,0.67,1.2122958001491
2011-08-08,0.05,0.39,0.157301956213721
2011-08-09,0.826,1.58,0.79588101683263
2011-08-10,0.00888888888888889,0.09,0.014
2011-08-11,0.00125,0.01,0.000666666666666667
2011-08-12,0,0,0
2011-08-13,0.00625,0.04,0.00419047619047619
2011-08-14,1.297,0.66,1.40300047951455
2011-08-15,0.792,0.69,0.715767394133265
2011-08-16,0.00111111111111111,0,0
2011-08-17,0.00125,0.01,0.000588235294117647
2011-08-18,0.00333333333333333,0.01,0.000714285714285714
2011-08-19,0.038,0.17,0.0280244755244755
2011-08-20,0,0,0
2011-08-21,0.174,0.8,0.302637892078682
2011-08-22,0.00333333333333333,0.44,0.0195764705882353
2011-08-23,0,0,0
2011-08-24,0.0025,0.01,0.00142857142857143
2011-08-25,0.137,0.24,0.0883427703299826
2011-08-26,0.00444444444444444,0.01,0.00567450980392157
2011-08-27,0.829,0.71,0.777618009544219
2011-08-28,2.42,0.99,1.85381130881744
2011-08-29,0,0,0
2011-08-30,0.00125,0.01,0.000588235294117647
2011-08-31,0.00125,0.01,0.0036078431372549
2011-09-01,0,0,0
2011-09-02,0,0,0
2011-09-03,0.00111111111111111,0.01,0.000714285714285714
2011-09-04,0,0,0
2011-09-05,0.0075,0.05,0.00428571428571429
2011-09-06,1.577,0.79,1.57345738682297
2011-09-07,0.436363636363636,0.74,0.498055222025423
2011-09-08,1.398,1.01,1.01356816818516
2011-09-09,0,0,0
2011-09-10,0.00125,0.01,0.000714285714285714
2011-09-11,0,0,0
2011-09-12,0,0,0
2011-09-13,0,0,0
2011-09-14,0.001,0.01,0.000555555555555556
2011-09-15,0.015,0.55,0.0447565179918121
2011-09-16,0,0,0
2011-09-17,0,0,0
2011-09-18,0,0,0
2011-09-19,0,0,0
2011-09-20,0.053,0.05,0.0417838073444481
2011-09-21,0.02,0.06,0.0160618896768193
2011-09-22,0.1,0.17,0.0725891563146998
2011-09-23,0.827,0.73,0.768923769615029
2011-09-24,0.0877777777777778,0.23,0.0908270202020202
2011-09-25,0,0,0
2011-09-26,0.00125,0.01,0.00134575569358178
2011-09-27,0.00111111111111111,0.01,0.00181818181818182
2011-09-28,0.622222222222222,0.66,0.630852619527075
2011-09-29,0.326666666666667,0.33,0.295231190186376
2011-09-30,0.127647058823529,0.78,0.268338087743459
2011-10-01,0.0877777777777778,0.11,0.0633531892084524
2011-10-02,0.163333333333333,0.2,0.153991341991342
2011-10-03,0.267777777777778,0.19,0.220496830311072
2011-10-04,0.0866666666666667,0.12,0.0612343037079879
2011-10-05,0.00125,0.01,0.000909090909090909
2011-10-06,0,0,0
2011-10-07,0,0,0
2011-10-08,0,0,0
2011-10-09,0,0,0
2011-10-10,0.00125,0.01,5e-04
2011-10-11,0,0,0
2011-10-12,0.0211111111111111,0.02,0.0158575395193042
2011-10-13,0.355,0.98,0.380199551093029
2011-10-14,0.511,0.64,0.526145297048481
2011-10-15,0,0.01,0.000833333333333333
2011-10-16,0,0.01,0.000714285714285714
2011-10-17,0.00666666666666667,0.02,0.00678571428571429
2011-10-18,0,0,0
2011-10-19,0.721,1.05,0.811776777833718
2011-10-20,0.096,0.5,0.132720057720058
2011-10-21,0,0,0
2011-10-22,0,0,0
2011-10-23,0,0,0
2011-10-24,0.001,0,0
2011-10-25,0.00111111111111111,0.01,0.000625
2011-10-26,0.00333333333333333,0.01,0.000714285714285714
2011-10-27,0.514,0.53,0.524377688260872
2011-10-28,0,0,0
2011-10-29,0.711,0.94,0.402851437863822
2011-10-30,0.0075,6.24,0.367058823529412
2011-10-31,0,0,0
2011-11-01,0,0,0
2011-11-02,0,0,0
2011-11-03,0,0,0
2011-11-04,0,0,0
2011-11-05,0,0,0
2011-11-06,0,0,0
2011-11-07,0,0,0
2011-11-08,0,0,0
2011-11-09,0,0,0
2011-11-10,0.291,0.44,0.284679700854701
2011-11-11,0.00333333333333333,0.02,0.00654166666666667
2011-11-12,0,0,0
2011-11-13,0,0,0
2011-11-14,0,0,0
2011-11-15,0,0,0
2011-11-16,0.598,0.36,0.434007786120689
2011-11-17,0.0355555555555556,0.16,0.0604239926739927
2011-11-18,0,0,0
2011-11-19,0,0,0
2011-11-20,0,0,0
2011-11-21,0.0144444444444444,0.05,0.0121172161172161
2011-11-22,0.322,0.21,0.260936347218313
2011-11-23,0.877,0.49,0.810600854495036
2011-11-24,0,0,0
2011-11-25,0,0,0
2011-11-26,0,0,0
2011-11-27,0,0,0
2011-11-28,0,0,0
2011-11-29,0.566363636363636,0.8,0.513171944271086
2011-11-30,0.0376470588235294,0.2,0.0822510058568882
2011-12-01,0,0,0
2011-12-02,0,0,0
2011-12-03,0,0,0
2011-12-04,0,0,0
2011-12-05,0,0,0
2011-12-06,0.261,0.18,0.260918786866155
2011-12-07,1.22727272727273,0.57,1.17354510880949
2011-12-08,0.394444444444444,0.64,0.408323135522277
2011-12-09,0,0.01,0.000666666666666667
2011-12-10,0.00333333333333333,0.02,0.00188034188034188
2011-12-11,0,0,0
2011-12-12,0,0,0
2011-12-13,0,0,0
2011-12-14,0,0,0
2011-12-15,0.029,0.06,0.0317007992007992
2011-12-16,0.00222222222222222,0.01,0.00432983682983683
2011-12-17,0,0,0
2011-12-18,0,0,0
2011-12-19,0,0,0
2011-12-20,0,0,0
2011-12-21,0.196,0.29,0.149323137989086
2011-12-22,0.004,0.31,0.0197619047619048
2011-12-23,0.415,0.54,0.38095636979508
2011-12-24,0,0,0
2011-12-25,0,0,0
2011-12-26,0.00111111111111111,0.01,0.000666666666666667
2011-12-27,0.573,0.39,0.461457843137255
2011-12-28,0.00125,0.01,0.000666666666666667
2011-12-29,0,0,0
2011-12-30,0,0,0
2011-12-31,0.025,0.09,0.0420285947712418
2012-01-01,0.076,0.1,0.0725694444444444
2012-01-02,0.00333333333333333,0.03,0.00428571428571429
2012-01-03,0,0,0
2012-01-04,0,0,0
2012-01-05,0,0,0
2012-01-06,0,0,0
2012-01-07,0,0,0
2012-01-08,0,0,0
2012-01-09,0,0,0
2012-01-10,0,0,0
2012-01-11,0.00625,0.04,0.00428571428571429
2012-01-12,0.741,0.66,0.803536692220748
2012-01-13,0.027,0.06,0.0206094878882603
2012-01-14,0,0,0
2012-01-15,0,0,0
2012-01-16,0.138,0.11,0.00767094017094017
2012-01-17,0.067,0.08,0.0685499343164675
2012-01-18,0,0,0
2012-01-19,0.042,0.02,0.00200379326695116
2012-01-20,0.00111111111111111,0.06,0.0025
2012-01-21,0.156,0,0
2012-01-22,0.00125,0,0
2012-01-23,0.187,0.26,0.168507987334719
2012-01-24,0.001,0.01,0.00126811594202899
2012-01-25,0,0,0
2012-01-26,0.123,0.07,0.104674205022031
2012-01-27,0.39,0.26,0.312034975036405
2012-01-28,0,0,0
2012-01-29,0,0,0
2012-01-30,0,0,0
2012-01-31,0,0,0
2012-02-01,0.0222222222222222,0.07,0.0319871794871795
2012-02-02,0,0,0
2012-02-03,0,0,0
2012-02-04,0,0,0
2012-02-05,0,0,0
2012-02-06,0,0,0
2012-02-07,0,0,0
2012-02-08,0,0.04,0.0045
2012-02-09,0,0,0
2012-02-10,0.00125,0.01,0.00125
2012-02-11,0.002,0.01,0.000625
2012-02-12,0,0,0
2012-02-13,0,0,0
2012-02-14,0.00375,0.03,0.0041025641025641
2012-02-15,0.007,0.01,0.0048980179028133
2012-02-16,0.088,0.06,0.0737968354143277
2012-02-17,0.018,0.04,0.0155006211180124
2012-02-18,0.0109090909090909,0.05,0.0151973981900452
2012-02-19,0,0,0
2012-02-20,0,0,0
2012-02-21,0.00333333333333333,0.01,0.000588235294117647
2012-02-22,0,0,0
2012-02-23,0,0,0
2012-02-24,0.608,0.17,0.247094384103369
2012-02-25,0,0.01,0.00194444444444444
2012-02-26,0,0,0
2012-02-27,0,0,0
2012-02-28,0,0,0
2012-02-29,0.0477777777777778,0.28,0.0812811594534101
2012-03-01,0.163,0.1,0.125812702806484
2012-03-02,0.059,0.07,0.0479370629370629
2012-03-03,0.171,0.08,0.160376004461488
2012-03-04,0,0,0
2012-03-05,0,0,0
2012-03-06,0,0,0
2012-03-07,0,0,0
2012-03-08,0,0,0
2012-03-09,0.0611111111111111,0.14,0.0463653846153846
2012-03-10,0,0,0
2012-03-11,0,0,0
2012-03-12,0,0,0
